config,seed,graph_type,normalization,physical_scaling,running_normalization,substation_edges,substation_nodes,virtual_node,encoder,timesteps
gs_s1c_bus_n0_none_e0n0v1_s0.toml,0,bus,n0_none,False,False,False,False,True,gine,8000000
gs_s1c_bus_n0_none_e0n1v0_s0.toml,0,bus,n0_none,False,False,False,True,False,gine,8000000
gs_s1c_bus_n0_none_e0n1v1_s0.toml,0,bus,n0_none,False,False,False,True,True,gine,8000000
gs_s1c_bus_n0_none_e1n0v0_s0.toml,0,bus,n0_none,False,False,True,False,False,gine,8000000
gs_s1c_bus_n0_none_e1n0v1_s0.toml,0,bus,n0_none,False,False,True,False,True,gine,8000000
gs_s1c_bus_n0_none_e1n1v0_s0.toml,0,bus,n0_none,False,False,True,True,False,gine,8000000
gs_s1c_bus_n0_none_e1n1v1_s0.toml,0,bus,n0_none,False,False,True,True,True,gine,8000000
